Linux 5.15.30-2-pve (superserver2) 	01/31/2024 	_x86_64_	(32 CPU)

01:28:04 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:35:04 PM 303184456 389145368   2458548      0.62    858452  85019012   6624420      1.64  58398224  28356852       348   1043200   3353316      9808     10832    863140
01:35:09 PM 303182708 389146052   2458276      0.62    858452  85021284   6624420      1.64  58398232  28358744       100   1043236   3353064      9680     10112    863124
01:35:14 PM 303177016 389142736   2461600      0.62    858452  85023504   6843724      1.70  58398228  28361104       224   1043484   3353212      9664     10876    863060
01:35:19 PM 303173764 389142144   2461960      0.62    858452  85026000   6624808      1.64  58398232  28363736        44   1043516   3353608      9648     10108    863060
01:35:24 PM 303170064 389140816   2463012      0.62    858452  85028216   6624808      1.64  58398228  28366060       200   1043636   3354040      9648     10112    863076
01:35:29 PM 303168340 389140828   2463428      0.62    858452  85029844   6624940      1.64  58398232  28367808        92   1043728   3353720      9648     10112    863044
01:35:34 PM 303166936 389141412   2462920      0.62    858452  85031720   6624940      1.64  58398228  28369728       140   1043832   3353756      9648     10108    863044
01:35:39 PM 303163436 389139928   2464516      0.62    858452  85033600   6625336      1.64  58398232  28371776        20   1043928   3353780      9648     10108    863028
01:35:44 PM 303161444 389140156   2464440      0.62    858452  85035644   6625336      1.64  58398228  28373872       240   1044016   3353804      9648     10112    863076
01:35:49 PM 303159728 389140556   2463956      0.62    858452  85037612   6625336      1.64  58398232  28375976        24   1044112   3354036      9648     10112    863060
01:35:54 PM 303155976 389139404   2464672      0.62    858452  85040056   6625592      1.64  58398232  28378492       144   1044252   3354628      9648     10120    863076
01:35:59 PM 303153992 389139284   2464592      0.62    858452  85041800   6625724      1.64  58398232  28380404        60   1044356   3354948      9648     10116    863076
01:36:04 PM 303151832 389139664   2464704      0.62    858452  85044180   6625724      1.64  58398224  28382912       260   1044512   3354616      9648     10120    863060
01:36:09 PM 303149092 389139204   2464852      0.62    858456  85046312   6625724      1.64  58398236  28385184        72   1044624   3355072      9632     10116    863076
01:36:14 PM 303144672 389137240   2466516      0.62    858456  85048616   6626112      1.64  58398232  28387556       272   1044756   3355524      9632     10116    863076
01:36:19 PM 303140172 389135380   2468808      0.63    858456  85051084   6626112      1.64  58398236  28390224       100   1044892   3355264      9632     10116    863092
01:36:24 PM 303139224 389136864   2467540      0.62    858456  85053384   6626112      1.64  58398236  28392620        56   1045016   3355180      9616     10120    863060
01:36:29 PM 303137512 389137188   2466884      0.62    858456  85055268   6626500      1.64  58398232  28394644        80   1045124   3355664      9616     10116    863044
01:36:34 PM 303133888 389135500   2468604      0.63    858456  85057092   6626500      1.64  58398236  28396520        32   1045204   3355744      9632     10116    863060
01:36:39 PM 303130152 389134168   2469532      0.63    858456  85059336   6626636      1.64  58398236  28398900        16   1045316   3356308      9632     10116    863028
01:36:44 PM 303126408 389132320   2471192      0.63    858456  85061128   6626636      1.64  58398232  28400724       216   1045444   3356600      9632     10120    863044
01:36:49 PM 303124724 389132964   2470768      0.63    858456  85063292   6626892      1.64  58398236  28403096        52   1045552   3356544      9632     10124    863108
01:36:54 PM 303122248 389132652   2471164      0.63    858456  85065336   6626892      1.64  58398236  28405176       200   1045668   3356580      9632     10120    863108
01:36:59 PM 303120496 389133052   2470892      0.63    858456  85067332   6627024      1.64  58398236  28407360        56   1045780   3356608      9632     10124    863124
01:37:04 PM 303118632 389133288   2470796      0.63    858456  85069324   6630120      1.64  58398232  28410864       380   1047392   3356576      9680     10240    863116
01:37:09 PM 303115672 389132348   2471648      0.63    858456  85071200   6627280      1.64  58398236  28411448        56   1045996   3356808      9648     10124    863124
01:37:14 PM 303112744 389131540   2472116      0.63    858456  85073196   6627412      1.64  58398236  28413512       340   1046104   3357272      9664     10124    863108
01:37:19 PM 303111800 389132900   2470912      0.63    858456  85075360   6627412      1.64  58398236  28415828        16   1046216   3357256      9648     10124    863108
01:37:24 PM 303109124 389132356   2471560      0.63    858456  85077348   6627668      1.64  58398232  28417896       204   1046340   3357296      9648     10124    863092
01:37:29 PM 303106140 389131688   2472192      0.63    858456  85079540   6627800      1.64  58398236  28420248        92   1046464   3357456      9648     10128    863092
01:37:34 PM 303103748 389131392   2472012      0.63    858456  85081472   6627800      1.64  58398232  28422740       200   1047028   3358096      9696     10836    863108
01:37:39 PM 303101744 389131368   2472364      0.63    858456  85083352   6628208      1.64  58398236  28424308        52   1046708   3357868      9648     10128    863092
01:37:44 PM 303098860 389130868   2473388      0.63    858456  85085536   6628208      1.64  58398236  28426528       220   1046796   3357544      9648      9928    863076
01:37:49 PM 303097180 389131332   2472516      0.63    858456  85087532   6628208      1.64  58398236  28428736        16   1046960   3358100      9664     10120    863060
01:37:54 PM 303096000 389132116   2471528      0.63    858456  85089356   6628464      1.64  58398232  28430700       184   1047108   3358444      9680     10012    863076
01:37:59 PM 303093516 389131652   2472112      0.63    858456  85091272   6628464      1.64  58398236  28432708        64   1047188   3358428      9664     10120    863108
01:38:04 PM 303091336 389131432   2472804      0.63    858456  85093068   6628596      1.64  58398236  28434624       128   1047340   3358120      9648     10100    863076
01:38:09 PM 303089388 389131380   2473100      0.63    858456  85094860   6631724      1.64  58398236  28437980       268   1048932   3357980      9696     10236    863068
01:38:14 PM 303087464 389131168   2472980      0.63    858456  85096460   6628852      1.64  58398228  28438684       212   1048060   3358424      9728     10384    863092
01:38:19 PM 303084988 389130784   2473152      0.63    858456  85098456   6628852      1.64  58398228  28440256        40   1047672   3358732      9664     10124    863108
01:38:24 PM 303082808 389130452   2473324      0.63    858456  85100140   6629240      1.64  58398236  28442332        84   1047992   3359056      9712      9968    863124
01:38:29 PM 303080344 389130200   2473452      0.63    858456  85102248   6629240      1.64  58398236  28444368        24   1047916   3359284      9664     10124    863124
01:38:34 PM 303079428 389131548   2472040      0.63    858456  85104348   6629240      1.64  58398236  28447708        96   1049180   3359512      9792     10860    863092
01:38:39 PM 303076968 389131376   2472680      0.63    858456  85106484   6629628      1.64  58398236  28448884        96   1048260   3359196      9664     10124    863092
01:38:44 PM 303075036 389131984   2471500      0.63    858456  85108864   6629628      1.64  58398232  28452528       192   1049556   3359928      9808     11392    863060
01:38:49 PM 303074336 389133452   2470416      0.63    858456  85110940   6629628      1.64  58398236  28453720        44   1048580   3359636      9664     10124    863092
01:38:54 PM 303072888 389134484   2468968      0.63    858456  85113268   6630016      1.64  58398232  28456656       200   1049216   3360204      9792     11132    863108
01:38:59 PM 303072944 389136964   2466580      0.62    858456  85115540   6630016      1.64  58398232  28458520        32   1048816   3360264      9664     10128    863108
01:39:04 PM 303071480 389137780   2466104      0.62    858456  85117704   6630416      1.64  58398232  28460848       252   1048960   3360040      9664     10128    863092
01:39:09 PM 303067992 389136776   2467100      0.62    858456  85120032   6630416      1.64  58398232  28463300        84   1049096   3360204      9664     10128    863092
01:39:14 PM 303065296 389136456   2467352      0.62    858456  85122248   6630672      1.64  58398236  28465712       316   1049248   3360432      9664     10132    863092
01:39:19 PM 303062540 389136244   2467464      0.62    858456  85124632   6630804      1.64  58398236  28468216        28   1049404   3360692      9664     10128    863092
01:39:24 PM 303058360 389134156   2469392      0.63    858456  85126624   6633340      1.64  58398236  28471476       204   1050712   3360952      9696     10236    863116
01:39:29 PM 302493992 388574612   3025060      0.77    858456  85131268 100702076     24.97  58399240  29031676       716   1606904   3365008     10176     24984    863476
01:39:34 PM 302475560 388556592   3043200      0.77    858456  85131664 101209304     25.10  58399240  29035328       680   1611308   3364904     10224     25088    863444
01:39:39 PM 302468324 388549784   3050276      0.77    858456  85132092 101314508     25.12  58399240  29038852       488   1614260   3364636     10192     25032    863412
01:39:44 PM 302470608 388552724   3047364      0.77    858456  85132756 101416604     25.15  58399260  29039428      1008   1613788   3364600     10240     25164    863564
01:39:49 PM 302498708 388584004   3016352      0.76    858456  85135840  97612696     24.21  58399524  29006652      2276   1577636   3364428     10144     23936    863492
01:39:54 PM 302480048 388566152   3034748      0.77    858456  85136608  98392912     24.40  58399628  29040748      3520   1611688   3363924     10192     24864    863476
01:39:59 PM 302472088 388558880   3042460      0.77    858456  85137280 101319120     25.12  58399688  29059784      4420   1629656   3363500     10256     25168    863524
01:40:04 PM 302479952 388567892   3033544      0.77    858456  85138376 101411608     25.15  58399752  29049960      1320   1619184   3363456     10240     25024    863524
01:40:09 PM 302533336 388622276   2978724      0.75    858456  85139380  96898868     24.03  58399804  29018332      1636   1586668   3363888     10224     24452    863492
01:40:14 PM 302527440 388618248   2983360      0.76    858456  85141232  98498904     24.43  58400000  29031960      3432   1598652   3363296     10208     24432    863444
01:40:19 PM 302505628 388597808   3003440      0.76    858456  85142592  98711584     24.48  58400140  29058704      4256   1623680   3363668     10224     24636    863444
01:40:24 PM 302498344 388591668   3009868      0.76    858456  85143716 101318996     25.12  58400212  29058808      4904   1623216   3363400     10224     25044    863396
01:40:29 PM 302540456 388634976   2966380      0.75    858456  85144884  94083872     23.33  58400220  29003428       332   1566568   3363608     10224     24104    863476
01:40:34 PM 302492216 388589176   3012744      0.76    858456  85147340  97417200     24.16  58400424  29032648      2840   1593740   3363028     10240     24568    863444
01:40:39 PM 302470712 388568240   3033816      0.77    858456  85147852  98398020     24.40  58400584  29055628      3696   1616264   3362948     10240     24820    863444
01:40:44 PM 302463348 388561796   3040344      0.77    858456  85148772 101008564     25.05  58400644  29061332      4608   1621032   3362864     10224     24792    863492
01:40:49 PM 302493552 388593580   3007916      0.76    858456  85150380  94291632     23.38  58400708  29026200       708   1585032   3363480     10240     24380    863460
01:40:54 PM 302459988 388560712   3039916      0.77    858456  85150964 101320800     25.13  58400800  29073556      2160   1631352   3364460     10224     25248    863508
01:40:59 PM 302429276 388531408   3068676      0.78    858456  85152312  98504932     24.43  58400944  29065844      3308   1621964   3365064     10256     24832    863540
01:41:04 PM 302425776 388529644   3070212      0.78    858456  85154004 101424016     25.15  58401084  29072436      4680   1627220   3365336     10288     25580    863588
01:41:09 PM 302417040 388521820   3078284      0.78    858456  85154888 101320524     25.13  58401140  29073064       728   1627188   3365116     10256     25048    863604
01:41:14 PM 302446608 388552632   3047940      0.77    858456  85156156  98303620     24.38  58401256  29053792      2216   1606724   3364624     10272     24900    863612
01:41:19 PM 302426296 388533856   3066484      0.78    858456  85157680 101283384     25.12  58401336  29073588      3604   1625796   3364868     10272     25104    863668
01:41:24 PM 302469624 388579228   3021364      0.77    858456  85159672  97722228     24.23  58401496  29040296      4308   1589992   3364668     10256     24464    863524
01:41:29 PM 302429012 388539136   3062140      0.78    858456  85160128 101421680     25.15  58401592  29074064      4672   1622984   3364048     10256     25032    863540
01:41:34 PM 302421340 388533112   3068384      0.78    858456  85161744 101318372     25.12  58401648  29076676      5468   1624524   3363860     10256     25080    863556
01:41:39 PM 302473860 388587236   3014408      0.76    858456  85163372  90701756     22.49  58401744  29011624      4540   1557776   3363688     10240     23864    863508
01:41:44 PM 302401692 388516068   3085412      0.78    858456  85164324 101012664     25.05  58401960  29076128      4644   1621248   3363900     10320     25244    863564
01:41:49 PM 302390628 388506152   3094648      0.78    858456  85165460 101111472     25.07  58402040  29077984      4668   1622824   3364592     10256     25068    863540
01:41:54 PM 302389500 388505924   3095488      0.78    858456  85166368 101211252     25.10  58402112  29073584       288   1617264   3363972     10240     24488    863460
01:41:59 PM 302454932 388574228   3027360      0.77    858456  85169232  90498316     22.44  58402160  29023072      1052   1563840   3363804     10256     23840    863556
01:42:04 PM 302444928 388565476   3035676      0.77    858456  85170372  94907708     23.53  58402372  29047772      2376   1587548   3364352     10224     23880    863444
01:42:09 PM 302428576 388549376   3051876      0.77    858456  85170636 100805248     25.00  58402456  29084452      3448   1624180   3364240     10256     25004    863572
01:42:14 PM 302449856 388572692   3028224      0.77    858456  85172652  97211348     24.11  58402520  29051420       384   1589576   3364596     10256     24600    863572
01:42:19 PM 302411920 388534980   3065824      0.78    858456  85172808 101527888     25.18  58402628  29091324      1496   1628676   3364776     10256     25044    863524
01:42:24 PM 302407288 388532648   3067548      0.78    858456  85175088 101314028     25.12  58402768  29084884      3508   1620512   3365404     10368     25324    863476
01:42:29 PM 302435568 388561724   3038792      0.77    858456  85175836  97412564     24.16  58402872  29055980      3812   1590484   3365132     10240     24436    863492
01:42:34 PM 302421396 388548400   3052288      0.77    858456  85176708  98595084     24.45  58402992  29058520      3960   1592628   3364936     10240     24160    863476
01:42:39 PM 302398112 388526736   3074180      0.78    858456  85178300 101318700     25.12  58403088  29091128      4724   1623868   3364736     10256     25032    863524
01:42:44 PM 302383304 388513624   3086648      0.78    858456  85179960 101218228     25.10  58403228  29095888      4816   1627008   3365416     10240     25456    863652
01:42:49 PM 302394428 388526536   3073644      0.78    858456  85181752 100805032     25.00  58403300  29095212        60   1624556   3365504     10240     25016    863636
01:42:54 PM 302404776 388537868   3062464      0.78    858456  85182652 100809768     25.00  58403464  29096496      2028   1625056   3365436     10240     24800    863572
01:42:59 PM 302424800 388559012   3041508      0.77    858456  85183696  98095592     24.33  58403544  29078340      2776   1606128   3365324     10240     24800    863508
01:43:04 PM 302409568 388545644   3055668      0.77    858456  85185512  97720072     24.23  58403648  29065788      4156   1591872   3364580     10256     24548    863444
01:43:09 PM 302374964 388511964   3089536      0.78    858456  85186416 100709076     24.97  58403772  29103880      4544   1629564   3364412     10256     24988    863460
01:43:14 PM 302357860 388496408   3105288      0.79    858456  85187888 101326680     25.13  58403908  29097612      4704   1621472   3364292     10384     25036    863428
01:43:19 PM 302367032 388506716   3094984      0.78    858456  85188984  98194748     24.35  58403936  29089948      4472   1612672   3364328     10256     24480    863444
01:43:24 PM 302372704 388513960   3087288      0.78    858456  85190440  98502976     24.43  58404108  29099024      1832   1620128   3364896     10224     24664    863428
01:43:29 PM 302370684 388513708   3087628      0.78    858456  85192204 101114852     25.07  58404228  29105160      3328   1624596   3364812     10256     25076    863428
01:43:34 PM 302371820 388515788   3085304      0.78    858456  85193136 101110908     25.07  58404336  29103404      4240   1622496   3365068     10256     25008    863476
01:43:39 PM 302412952 388559020   3041564      0.77    858456  85195208  93408796     23.16  58404392  29042952      1204   1559416   3365604     10256     24064    863540
01:43:44 PM 302390848 388538012   3062620      0.78    858456  85196304  94500112     23.43  58404556  29071320      2408   1586536   3365556     10240     24456    863556
01:43:49 PM 302360864 388508576   3092144      0.78    858456  85196852 101423184     25.15  58404636  29111976       824   1628036   3365468     10256     25040    863604
01:43:54 PM 302364112 388512776   3088116      0.78    858456  85197760 101207208     25.10  58404716  29102728      1860   1617652   3365340     10256     24888    863572
01:43:59 PM 302400776 388551492   3048652      0.77    858456  85199812  97308192     24.13  58404832  29074784      1452   1587352   3366088     10256     24400    863572
01:44:04 PM 302383160 388535404   3064148      0.78    858456  85201320  98161376     24.34  58405036  29090316      3364   1602024   3366700     10256     24660    863540
01:44:09 PM 302350344 388503300   3096096      0.78    858456  85202020  98301608     24.38  58405068  29115636      3880   1626680   3366868     10288     24988    863628
01:44:14 PM 302324496 388478828   3121060      0.79    858456  85203368 101010028     25.05  58405168  29117068      5004   1626844   3366404     10256     25020    863604
01:44:19 PM 302356408 388512348   3087844      0.78    858456  85204976 100909912     25.02  58405332  29115484      4484   1623360   3366100     10256     24936    863524
01:44:24 PM 302346436 388503984   3097144      0.78    858456  85206544 101322672     25.13  58405456  29123860      4852   1630548   3365204     10256     25064    863540
01:44:29 PM 302350800 388509928   3091128      0.78    858456  85208124 101013048     25.05  58405512  29123064      5272   1628292   3365276     10256     25080    863540
01:44:34 PM 302336008 388495488   3104888      0.79    858456  85208436  97988636     24.30  58405600  29115728       872   1620768   3365996     10256     24908    863524
01:44:39 PM 302324712 388486360   3114292      0.79    858456  85210552 101318336     25.12  58405808  29116772      2648   1619852   3365772     10240     24932    863460
01:44:44 PM 302353400 388515892   3084796      0.78    858456  85211392  95374944     23.65  58405852  29096372      3412   1598728   3365740     10240     24420    863508
01:44:49 PM 302327220 388491024   3109836      0.79    858456  85212708 101016056     25.05  58405960  29129892      4552   1631148   3365564     10224     25036    863556
01:44:54 PM 302316796 388482872   3117532      0.79    858456  85214984  97311000     24.13  58406084  29091828       656   1590772   3366016     10208     24764    863508
01:44:59 PM 302296404 388463276   3137844      0.79    858456  85215764 101319616     25.12  58406224  29129008      2120   1627384   3365316     10208     25036    863460
